"","模型","分布","Loglik","AIC","BIC"
"1","MSGARCH-2","norm-norm",5871.70323406635,-11727.4064681327,-11679.1997213795
"2","MSGARCH-2","snorm-norm",5848.72259338963,-11679.4451867793,-11625.2125966819
"3","MSGARCH-2","std-norm",6178.82034958191,-12339.6406991638,-12285.4081090665
"4","MSGARCH-2","sstd-norm",6197.37904939579,-12374.7580987916,-12314.4996653501
"5","MSGARCH-2","ged-norm",6147.35045243154,-12276.7009048631,-12222.4683147657
"6","MSGARCH-2","sged-norm",6168.7200106434,-12317.4400212868,-12257.1815878453
"7","MSGARCH-2","norm-snorm",5872.01670405739,-11726.0334081148,-11671.8008180174
"8","MSGARCH-2","snorm-snorm",6005.09501980132,-11990.1900396026,-11929.9316061611
"9","MSGARCH-2","std-snorm",6144.650377749,-12269.300755498,-12209.0423220565
"10","MSGARCH-2","sstd-snorm",6197.39493225877,-12372.7898645175,-12306.5055877319
"11","MSGARCH-2","ged-snorm",6161.74660955208,-12303.4932191042,-12243.2347856626
"12","MSGARCH-2","sged-snorm",6169.46467936478,-12316.9293587296,-12250.6450819439
"13","MSGARCH-2","norm-std",5960.16315929899,-11902.326318598,-11848.0937285006
"14","MSGARCH-2","snorm-std",6189.25246603644,-12358.5049320729,-12298.2464986314
"15","MSGARCH-2","std-std",6258.3898211725,-12496.779642345,-12436.5212089035
"16","MSGARCH-2","sstd-std",6276.60589681789,-12531.2117936358,-12464.9275168501
"17","MSGARCH-2","ged-std",6215.26843708286,-12410.5368741657,-12350.2784407242
"18","MSGARCH-2","sged-std",6274.94516566297,-12527.8903313259,-12461.6060545403
"19","MSGARCH-2","norm-sstd",6135.695394475,-12251.39078895,-12191.1323555085
"20","MSGARCH-2","snorm-sstd",6169.75524599182,-12317.5104919836,-12251.226215198
"21","MSGARCH-2","std-sstd",6261.19473746414,-12500.3894749283,-12434.1051981426
"22","MSGARCH-2","sstd-sstd",6277.53107778764,-12531.0621555753,-12458.7520354455
"23","MSGARCH-2","ged-sstd",6221.56282588985,-12421.1256517797,-12354.841374994
"24","MSGARCH-2","sged-sstd",6232.74323284972,-12441.4864656994,-12369.1763455696
"25","MSGARCH-2","norm-ged",5963.60787210543,-11909.2157442109,-11854.9831541135
"26","MSGARCH-2","snorm-ged",6193.45869621029,-12366.9173924206,-12306.6589589791
"27","MSGARCH-2","std-ged",6268.65404103323,-12517.3080820665,-12457.0496486249
"28","MSGARCH-2","sstd-ged",6290.07381721909,-12558.1476344382,-12491.8633576525
"29","MSGARCH-2","ged-ged",6217.66465336267,-12415.3293067253,-12355.0708732838
"30","MSGARCH-2","sged-ged",6217.56261473211,-12413.1252294642,-12346.8409526786
"31","MSGARCH-2","norm-sged",5940.46535186757,-11860.9307037351,-11800.6722702936
"32","MSGARCH-2","snorm-sged",6081.14258227758,-12140.2851645552,-12074.0008877695
"33","MSGARCH-2","std-sged",6239.39968717663,-12456.7993743533,-12390.5150975676
"34","MSGARCH-2","sstd-sged",6247.02014128504,-12470.0402825701,-12397.7301624403
"35","MSGARCH-2","ged-sged",6252.96992222907,-12483.9398444581,-12417.6555676725
"36","MSGARCH-2","sged-sged",6246.76128611919,-12469.5225722384,-12397.2124521086
