"","MS(1)-norm","MS(2)-sstd-ged","MS(3)-sged-std-sged"," µº ÷µ"
"1",-0.0723164104028331,-0.0159132747588078,-0.0199420701619524,0.00154759095220923
"2",-0.0723164236185274,-0.0159132981125689,-0.0179276954520673,0.00728494052727698
"3",-0.0723164146266821,-0.0320284629096732,-0.0360572580813741,0.00991355561599913
"4",-0.0723163970678922,-0.0320284357296285,-0.046129222198021,0.00411158435116003
"5",-0.0723163939947633,-0.0259852365192677,-0.0300140328214846,0.00563622146913985
"6",-0.0723163892987944,-0.0239708305844302,-0.0300140254237256,-0.00232056723131479
"7",-0.0723163916323046,-0.0179276398048032,-0.0138988433731364,-0.000510958967679121
"8",-0.072316392838766,-0.0179276419037153,-0.0118844473553763,-0.0015051791960841
"9",-0.0723163929120509,-0.015913243850439,-0.00785565112735154,0.00289805583707952
"10",-0.0723163930516819,-0.0179276422741306,-0.0098700495663453,0.0028345416404974
"11",-0.0723163914811165,-0.0179276395417769,-0.00987004666187485,0.00493028364666454
"12",-0.0723163915968363,-0.0219564361767079,-0.0138988433094875,0.00732592732673402
"13",-0.072316381746828,-0.0239708180667872,-0.0239708180667872,-0.000580185683762146
"14",-0.0723163817260128,-0.0199420210578083,-0.0098700286216149,-0.00862384904744061
"15",-0.0723164934732272,-0.0320285849598048,-0.034042980385476,-0.00281258336999211
"16",-0.0723165348602204,-0.0239710718574784,-0.011884706106793,-0.00135804612513246
"17",-0.0723165348842425,-0.0179278890239281,-0.00785591756831416,0.00148156494652238
"18",-0.0723165729159387,-0.0179279551886597,-0.00785598894286754,0.0027833974599703
"19",-0.0723165795621932,-0.0179279667513215,-0.00785600141597476,0.0042521409837827
"20",-0.0723165782670308,-0.0199423576006472,-0.0098703920878811,0.00177683119353373
"21",-0.0723165785595321,-0.0179279650069659,-0.00785599953426841,0.00219503240423896
"22",-0.0723166122301346,-0.0159136314125323,-0.00785606272430339,-0.00130120871484797
"23",-0.0723168002885746,-0.0138995767152097,-0.00584202863612493,0.00252509525600365
"24",-0.0723172928127447,-0.0159148340859114,-0.00584296645611992,0.00355089599258377
